,episode,episode of,original air date,plot,rating,season,title,votes,year
0,1,Community,2009-09-17,"
    An ex-lawyer is forced to return to community college to get a degree. However, he tries to use the skills he learned as a lawyer to get the answers to all his tests and pick up on a sexy woman in his Spanish class.    ",7.801234567891,1,Pilot,2585.0,2009
1,2,Community,2009-09-24,"
    Jeff takes steps to ensure that Brita will be his partner in Spanish class, but winds up with Pierce instead.    ",7.901234567891,1,Spanish 101,2245.0,2009
2,3,Community,2009-10-01,"
    Brita comes between Abed and his father when she signs him up for a film class, and Jeff risks failing a class unless he ""seizes the day.""    ",8.301234567891,1,Introduction to Film,2182.0,2009
3,4,Community,2009-10-08,"
    Jeff and Shirley bond by making fun of Britta's new hippie boyfriend, which doesn't go well for any involved. Meanwhile, Troy and Abed become pawns in Annie's psychology experiment.    ",8.201234567891,1,Social Psychology,1993.0,2009
4,5,Community,2009-10-15,"
    Señor Chang is on the hunt for a cheater and threatens to fail the entire class if the culprit doesn't come forward. When someone confesses, Jeff comes to their defense. Meanwhile, Annie recruits Pierce to write the new school song.    ",7.901234567891,1,Advanced Criminal Law,1914.0,2009
5,6,Community,2009-10-22,"
    Jeff talks Troy into playing for the college's football team, sparking Annie's anger. Pierce helps the dean come up with a new mascot, and Britta tries to become Shirley's bathroom friend.    ",7.801234567891,1,"Football, Feminism and You",1898.0,2009
6,7,Community,2009-10-29,"
    Will Jeff blow off Annie's Halloween party and sell out his other classmates in order to get a chance to score with a sexy professor?    ",8.801234567891,1,Introduction to Statistics,2235.0,2009
7,8,Community,2009-11-05,"
    When Jeff loses his home and his car, he is forced to move into Abed's dorm room. Troy has a big date, but why is a jealous Annie trying to help? Meanwhile, Pierce becomes the keyboardist for Vaughn's band.    ",8.101234567891,1,Home Economics,1847.0,2009
8,9,Community,2009-11-12,"
    Jeff reluctantly agrees to be Annie's debate partner, Britta humors Pierce by letting him try hypnotherapy on her to get her to stop smoking, and the gang begins to think that Abed's films may predict their future.    ",8.901234567891,1,Debate 109,2205.0,2009
9,10,Community,2009-11-19,"
    Jeff hangs out with Senor Chang to get out of an essay, angering the rest of the group. Meanwhile, Abed and Troy search for their missing lab mouse, and Pierce helps Shirley out with a presentation.    ",8.301234567891,1,Environmental Science,1882.0,2009
10,11,Community,2009-12-03,"
    Annie helps the dean put on an ""STD Fair,"" but doesn't want to perform an embarrassing demonstration. Meanwhile Jeff finds a companion for a double date with Pierce, and Troy finds out that Abed is a better athlete than him.    ",7.901234567891,1,Politics of Human Sexuality,1797.0,2009
11,12,Community,2009-12-10,"
    Shirley throws a Christmas party for the gang and much to her surprise learns her classmates come from various religious backgrounds. Meanwhile, Jeff is challenged by the school bully and faces the reality that he may fail Spanish 101.    ",8.501234567891,1,Comparative Religion,1943.0,2009
12,13,Community,2010-01-14,"
    The gang decides not to let an obnoxious student from their Spanish class into the study group. The dean appoints Jeff as editor of the student paper, where Annie is working on a story that could expose the dean as a racist.    ",8.101234567891,1,Investigative Journalism,1866.0,2010
13,14,Community,2010-01-21,"
    Jeff runs in to problems when the study group and the dean discover that he's seeing a professor, while Troy and Britta discover each other's secret that they are both taking dance classes.    ",8.001234567891,1,Interpretive Dance,1764.0,2010
14,15,Community,2010-02-04,"
    When Annie starts hanging out with Britta's ex-boyfriend Vaughn, Britta and Jeff vow to protect her. Meanwhile, Pierce feels left out at Troy and Abed's movie night.    ",8.201234567891,1,Romantic Expressionism,1767.0,2010
15,16,Community,2010-02-11,"
    Jeff sets out to fix his relationship with Britta after things get awkward with a drunken phone call. Meanwhile, Annie and Shirley make plans to humiliate Señor Chang in order to defend Troy and Pierce's dignity.    ",8.501234567891,1,Communication Studies,1840.0,2010
16,17,Community,2010-03-04,"
    Jeff refuses to participate in a pool class because the teacher forces him to play in gym shorts, and the study group discovers a white version of Abed at the college.    ",9.001234567891,1,Physical Education,2239.0,2010
17,18,Community,2010-03-11,"
    It's Family Day at Greendale. Pierce tries to build a relationship with his stepdaughter, but she has eyes for Jeff instead. Britta gets in trouble with Troy's Nana, and Shirley's kids cause problems for Abed's father.    ",8.101234567891,1,Basic Genealogy,1739.0,2010
18,19,Community,2010-03-18,"
    Jeff signs up for a pottery class for an easy credit, but winds up failing the class when his jealousy of another student gets the best of him. Meanwhile, Pierce's incompetence could ruin his group's grade in boating class.    ",8.501234567891,1,Beginner Pottery,1863.0,2010
19,20,Community,2010-03-25,"
    Britta's April Fool's Day prank has disastrous consequences, but she refuses to confess that she was responsible. Annie and Shirley temporarily work as security guards, but both of them want to be the ""bad cop.""    ",8.501234567891,1,The Science of Illusion,1788.0,2010
20,21,Community,2010-04-22,"
    Jeff's plan to get chicken fingers from the school cafeteria for the study group quickly evolves into a mafia movie-style endeavor with Abed calling all the shots.    ",9.301234567891,1,Contemporary American Poultry,2742.0,2010
21,22,Community,2010-04-29,"
    Shirley gets Pierce kicked out the study group, Jeff and Britta plot revenge on a group of high schoolers who make fun of them for attending community college, and Troy helps Abed accomplish some of his movie-clichéd social goals.    ",8.101234567891,1,The Art of Discourse,1862.0,2010
22,23,Community,2010-05-06,"
    Greendale Community College is transformed into an apocalyptic war zone when the dean promises the winner of a paintball competition priority registration, and it could fan the flames of sexual tension between Jeff and Britta.    ",9.801234567891,1,Modern Warfare,6971.0,2010
23,24,Community,2010-05-13,"
    Annie uses inside information about Señor Chang to get him fired so that the study group will be forced to stay together and take Spanish again. Meanwhile, Troy discovers that he has a natural skill for plumbing.    ",8.201234567891,1,English as a Second Language,1714.0,2010
24,25,Community,2010-05-20,"
    Jealousy runs rampant at Greendale as Britta and Professor Slater fight for the affection of Jeff. Meanwhile, Troy is confused when his best friend, Abed, doesn't invite him to move into his dorm room.    ",8.501234567891,1,Pascal's Triangle Revisited,1862.0,2010
25,1,Community,2010-09-23,"
    Jeff and Britta engage in a dangerous game of relationship one-upsmanship in response to Britta's embarrassing moment at the end of the previous school year, which could cause the entire study group to fall apart.    ",8.701234567891,2,Anthropology 101,1946.0,2010
26,2,Community,2010-09-30,"
    Jeff blows off the study group and their break-dancing competition to hang out with his old co-workers at the law firm, but Annie tries to prove that one of them is the person who turned him in and got him fired.    ",8.301234567891,2,Accounting for Lawyers,1779.0,2010
27,3,Community,2010-10-07,"
    Pierce's religion convinces him that the spirit of his dead mother is captured in a cheap lava lamp, Jeff has a crisis of faith when he learns he has high cholesterol, and Britta and Annie try to raise money for the oil spill.    ",8.101234567891,2,The Psychology of Letting Go,1717.0,2010
28,4,Community,2010-10-14,"
    Everyone in the study group except Abed is stuck in a crude 1980s space simulator as it is towed off campus, and Abed leads the team given the difficult assignment of bringing them home.    ",8.701234567891,2,Basic Rocket Science,2016.0,2010
29,5,Community,2010-10-21,"
    Shirley asks Abed to make a film about Jesus, but he quickly angers Shirley by turning it into a self-indulgent mess. Meanwhile, Pierce begins blowing off the study group to hang out with the ""hipsters.""    ",7.801234567891,2,Messianic Myths and Ancient Peoples,1904.0,2010
30,6,Community,2010-10-28,"
    The study group is left to fend for themselves by Dean Pelton during a rabies outbreak due to tainted food at Greendale's Halloween party.    ",9.301234567891,2,Epidemiology,2870.0,2010
31,7,Community,2010-11-04,"
    Britta, Annie and Shirley discover that Abed is skilled at insulting the mean girls, so they use him to their advantage. Meanwhile, Troy and Jeff find a secret garden with a trampoline, which they use for relaxation.    ",8.501234567891,2,Aerodynamics of Gender,1972.0,2010
32,8,Community,2010-11-11,"
    Chaos and mistrust tear the study group apart as they try to figure out who stole Annie's pen, causing them to miss the Greendale Puppy Parade.    ",9.101234567891,2,Cooperative Calligraphy,2336.0,2010
33,9,Community,2010-11-18,"
    Dean Pelton tries to bust Jeff for a phony night school credit, which only unveils a series of conspiracies, plots, and double-crosses between Jeff, Annie, and the dean.    ",9.401234567891,2,Conspiracy Theories and Interior Design,2860.0,2010
34,10,Community,2010-12-02,"
    The study group takes Troy out to a bar to celebrate his 21st birthday. While there, Annie assumes a new identity, Abed is propositioned by a man, one of Shirley's secrets is discovered, and Britta and Jeff fight over the ""cool"" bars.    ",8.501234567891,2,Mixology Certification,1889.0,2010
35,11,Community,2010-12-09,"
    When Abed wakes up to discover that everything is in stop motion animation, Professor Duncan and the study group help him try to discover the true meaning of Christmas.    ",8.801234567891,2,Abed's Uncontrollable Christmas,2562.0,2010
36,12,Community,2011-01-20,"
    Annie lobbies for her new crush, who is also Jeff's rival, to join the study group, but a jealous Jeff counters with Chang. Meanwhile, Shirley announces that she's pregnant, but she doesn't know that it could be Chang's.    ",8.101234567891,2,Asian Population Studies,1667.0,2011
37,13,Community,2011-01-27,"
    Pierce bribes Annie into getting him a bigger role in her anti-drug play, Jeff gets in trouble when he sends a lewd text message from Britta's phone, and Shirley rejects Chang's attempts to be friendly to her.    ",8.001234567891,2,Celebrity Pharmacology 212,1690.0,2011
38,14,Community,2011-02-03,"
    The study group plays Dungeons & Dragons with another classmate to improve his spirits, but Pierce's jealousies cause their good intentions to backfire.    ",9.501234567891,2,Advanced Dungeons & Dragons,3376.0,2011
39,15,Community,2011-02-10,"
    Jeff hangs out with Professor Duncan after a fight with the study group, but Chang tags along and starts a party. Meanwhile, Abed and Troy fight for a librarian's affection, and Britta goes to a dance with a girl she thinks is a lesbian.    ",8.201234567891,2,Early 21st Century Romanticism,1721.0,2011
40,16,Community,2011-02-17,"
    Pierce pretends to be dying so that he can bequeath a series of cryptic and sometimes mean-spirited gifts to his study partners, and Abed decides to shoot a documentary film of the situation.    ",8.801234567891,2,Intermediate Documentary Filmmaking,1916.0,2011
41,17,Community,2011-02-24,"
    Anticipating a visit from the vice president, dean Pelton holds an election for student body president. An idealistic Annie decides to run, but Jeff decides to run against her to spite her and show how stupid politics can be.    ",8.301234567891,2,Intro to Political Science,1771.0,2011
42,18,Community,2011-03-17,"
    Jeff uses Shirley's parental rights waiver against Chang as a way to get Chang out of the apartment, while Britta is afraid to tell Abed and Troy that their new friend is a war criminal.    ",7.501234567891,2,Custody Law and Eastern European Diplomacy,1645.0,2011
43,19,Community,2011-03-24,"
    Jeff's ""Pulp Fiction""-themed surprise party for Abed is spoiled when Abed tells him over dinner that he's done with pop culture. But is this confession actually just part of another movie homage?    ",9.001234567891,2,Critical Film Studies,2299.0,2011
44,20,Community,2011-04-14,"
    When a beautiful woman rejects him in favor of Pierce, Jeff is convinced she must have ulterior motives. Meanwhile, Troy invents a painful childhood memory in order to attract Britta, and Abed feuds with his professor over ""Who's the Boss?""    ",7.601234567891,2,Competitive Wine Tasting,1620.0,2011
45,21,Community,2011-04-21,"
    As the study group gathers to assemble their 20th and final Anthropology diorama of the year, they begin reminiscing about their favorite times together - including a trip they made to a western ghost town, a last minute glee club performance and the array of costumes that Dean Pelton has managed to wear over the year. Meanwhile, Troy's pet monkey returns, only to disappear back into the school's ventilation system.    ",9.101234567891,2,Paradigms of Human Memory,2308.0,2011
46,22,Community,2011-04-28,"
    When the Anthropology class assembles for their final exam, Shirley notices a twinge, which quickly escalates into full-blown labor. As Jeff and Britta argue about how best to help, Chang is anxious to claim this ""early"" labor as clear evidence that it's a ""Chang Baby!"" Meanwhile, Greendale is hosting a World Food Festival in the parking lot and a riot ensues - Dean Pelton is caught in the crossfire.    ",8.001234567891,2,Applied Anthropology and Culinary Arts,1625.0,2011
47,23,Community,2011-05-05,"
    In a ""spaghetti western"" parody, Pierce tries to get revenge on the rest of the study group during this year's paintball tournament.    ",9.701234567891,2,A Fistful of Paintballs,3934.0,2011
48,24,Community,2011-05-12,"
    When the study group learns that there's a sinister plot behind the paintball tournament, they unite the remaining players to defeat the enemy.    ",9.601234567891,2,For a Few Paintballs More,3172.0,2011
49,1,Community,2011-09-22,"
    Jeff's plan to keep Pierce out of the Study Group backfires when he gets kicked out instead, Abed copes with bad news about Cougar Town, and Dean Pelton's authority is challenged by another Greendale dean.    ",8.201234567891,3,Biology 101,1795.0,2011
50,2,Community,2011-09-29,"
    When another over-achieving student steals Annie's idea for a Model U.N. club, the Study Group comes to her rescue. Meanwhile, new security cop Chang tries to stop Britta's last-ditch efforts to create a campus disturbance.    ",8.201234567891,3,Geography of Global Conflict,1733.0,2011
51,3,Community,2011-10-06,"
    Chaos ensues when the Study Group tries to divide itself up into biology lab partners, and Chang appoints himself security ""detective,"" and tries to solve a mystery that is only in his head.    ",8.101234567891,3,Competitive Ecology,1722.0,2011
52,4,Community,2011-10-13,"
    At Abed and Troy's housewarming party, Jeff decides to let the decision on who gets the pizza rest on the roll of the dice, leaving Abed to contemplate six alternate realities.    ",9.801234567891,3,Remedial Chaos Theory,5663.0,2011
53,5,Community,2011-10-27,"
    During her pre-Halloween party, Britta gets everyone to tell a spooky story so that she can find out which member of the study group scored out as a psychopath on their psychology profiles.    ",8.801234567891,3,Horror Fiction in Seven Spooky Steps,2013.0,2011
54,6,Community,2011-11-03,"
    Pierce gets a visit from his bigoted father after his wipes become a hit in the gay community, and the dean of the School of Refrigeration recruits Troy to become his student.    ",7.701234567891,3,Advanced Gay,1657.0,2011
55,7,Community,2011-11-10,"
    The study group helps Annie move in with Troy and Abed - except for Jeff, who lies to get out of it but is busted by dean Pelton.    ",8.601234567891,3,Studies in Modern Movement,1809.0,2011
56,8,Community,2011-11-17,"
    Dean Pelton is given the task to make an updated Greendale television commercial, but the shoot soon goes over budget and spirals out of control, descending the dean into madness--with Abed documenting the entire experience.    ",9.001234567891,3,Documentary Filmmaking: Redux,2146.0,2011
57,9,Community,2011-12-01,"
    Shirley teaches Jeff foosball so that he can beat a team of cocky, obnoxious Germans, while Annie creates an overly elaborate ruse so that she doesn't have to tell Abed that she broke his special edition The Dark Knight DVD.    ",8.501234567891,3,Foosball and Nocturnal Vigilantism,1787.0,2011
58,10,Community,2011-12-08,"
    A holiday-themed parody of ""Glee"" in which Abed tries to persuade each member of the Study Group to join the glee club so that they can qualify for regionals.    ",8.701234567891,3,Regional Holiday Music,2125.0,2011
59,11,Community,2012-03-15,"
    Pierce comes to Shirley with a business proposal just as she's about to get married to Andre. Meanwhile, Troy and Abed try to act ""normal"" for the wedding, Britta discovers a new skill, and Jeff struggles with his toast.    ",7.801234567891,3,Urban Matrimony and the Sandwich Arts,1677.0,2012
60,12,Community,2012-03-22,"
    The members of the Study Group take jobs as celebrity impersonators to pay off Abed's debt to a celebrity impersonator business, but can Jeff be Ryan Seacrest without his fragile ego spiral out of control?    ",8.101234567891,3,Contemporary Impressionists,1694.0,2012
61,13,Community,2012-03-29,"
    Shirley and Pierce recruit Britta to sabotage the new Subway restaurant in the cafeteria. Jeff finds a hate-letter in the school locker he never realized he had. Troy and Abed begin constructing a pillow fort, but thanks to some outside manipulation Troy splits off to build his own blanket fort.    ",8.201234567891,3,Digital Exploration of Interior Design,1663.0,2012
62,14,Community,2012-04-05,"
    The United Forts of Pillowtown, headed by Abed, is at war with the Legit Republic of Blanketsburg, ruled by Troy. Annie sets up a hospital zone to treat casualties on both sides. Britta takes a stab at war-photography. Jeff tries to reunite two former friends turned mortal enemies using sarcasm.    ",9.301234567891,3,Pillows and Blankets,2849.0,2012
63,15,Community,2012-04-12,"
    While Britta struggles to stay away from her old carny boyfriend, Jeff becomes obsessed with their relationship. Meanwhile, the dean stops by Troy and Abed's to recruit Troy for the dean of the school of refrigeration.    ",8.201234567891,3,Origins of Vampire Mythology,1673.0,2012
64,16,Community,2012-04-19,"
    The study group takes a three hour lunch. Annie suggests Abed shows her how the Dreamatorium works so Troy and Britta can be together. But their 'Inspector Spacetime' simulation soon turns into a hospital bound drama in which Abed takes on the personalities of the other group members.    ",8.701234567891,3,Virtual Systems Analysis,1887.0,2012
